pol_id,prod_id,issue_date,issue_age,sex,pol_term,sum_assured,premium,premium_mode
100001,prod02,23/4/2017,27,Male,20,100000,1300,Q
100002,prod02,15/7/2020,33,Female,15,350000,370,M
100003,prod02,23/4/2012,27,Male,20,100000,1300,Q
100004,prod02,15/7/2020,33,Female,15,350000,370,M
100005,prod02,15/7/2020,33,Female,15,350000,370,M
100006,prod02,23/4/2012,27,Male,20,100000,1300,Q
100007,prod02,15/7/2020,33,Female,15,350000,370,M
100008,prod02,23/4/2012,27,Male,20,100000,1300,Q
100009,prod02,15/7/2020,33,Female,15,350000,370,M
100010,prod02,23/4/2012,27,Male,20,100000,1300,Q
100011,prod02,15/7/2020,33,Female,15,350000,370,M
100012,prod02,23/4/2012,27,Male,20,100000,1300,Q
100013,prod02,15/7/2020,33,Female,15,350000,370,M
100014,prod02,23/4/2012,27,Male,20,100000,1300,Q
100015,prod02,15/7/2020,33,Female,15,350000,370,M
100016,prod02,23/4/2012,27,Male,20,100000,1300,Q
100017,prod02,15/7/2020,33,Female,15,350000,370,M
100018,prod02,23/4/2012,27,Male,20,100000,1300,Q
100019,prod02,15/7/2020,33,Female,15,350000,370,M
100020,prod02,23/4/2012,27,Male,20,100000,1300,Q
100021,prod02,15/7/2020,33,Female,15,350000,370,M
100022,prod02,23/4/2012,27,Male,20,100000,1300,Q
100023,prod02,15/7/2020,33,Female,15,350000,370,M
100024,prod02,23/4/2012,27,Male,20,100000,1300,Q
100025,prod02,15/7/2020,33,Female,15,350000,370,M
100026,prod02,23/4/2012,27,Male,20,100000,1300,Q
100027,prod02,15/7/2020,33,Female,15,350000,370,M
100028,prod02,23/4/2012,27,Male,20,100000,1300,Q
100029,prod02,15/7/2020,33,Female,15,350000,370,M
100030,prod02,23/4/2012,27,Male,20,100000,1300,Q
100031,prod02,15/7/2020,33,Female,15,350000,370,M
100032,prod02,23/4/2012,27,Male,20,100000,1300,Q
100033,prod02,15/7/2020,33,Female,15,350000,370,M
100034,prod02,23/4/2012,27,Male,20,100000,1300,Q
100035,prod02,15/7/2020,33,Female,15,350000,370,M
100036,prod02,23/4/2012,27,Male,20,100000,1300,Q
100037,prod02,15/7/2020,33,Female,15,350000,370,M
100038,prod02,23/4/2012,27,Male,20,100000,1300,Q
100039,prod02,15/7/2020,33,Female,15,350000,370,M
100040,prod02,23/4/2012,27,Male,20,100000,1300,Q
100041,prod02,15/7/2020,33,Female,15,350000,370,M
100042,prod02,23/4/2012,27,Male,20,100000,1300,Q
100043,prod02,15/7/2020,33,Female,15,350000,370,M
100044,prod02,23/4/2012,27,Male,20,100000,1300,Q
100045,prod02,15/7/2020,33,Female,15,350000,370,M
100046,prod02,23/4/2012,27,Male,20,100000,1300,Q
100047,prod02,15/7/2020,33,Female,15,350000,370,M
100048,prod02,23/4/2012,27,Male,20,100000,1300,Q
100049,prod02,15/7/2020,33,Female,15,350000,370,M
100050,prod02,23/4/2012,27,Male,20,100000,1300,Q
100051,prod02,15/7/2020,33,Female,15,350000,370,M
100052,prod02,23/4/2012,27,Male,20,100000,1300,Q
