date,duration,proj_year,pol_year,att_age,modal_cf_indicator,mort_rate_ann,mort_rate_mth,lapse_rate_ann,lapse_rate_mth,acq_exp_per_pol,acq_exp_perc_prem,maint_exp_per_pol,maint_exp_perc_prem,disc_rate_ann,disc_rate_mth,invt_ret_ann,invt_ret_mth,prem_tax_rate,tax_rate,premium_pp,comm_pp,prem_tax_pp,death_ben_pp,surr_ben_pp,acq_exp_pp,maint_exp_pp,resv_pp,capreq_pp,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2022-01-01,1,1,1,35,1.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,240.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,2000.0,2000.0,70.0,200000.0,0.0,480.0,53.0,-5133.606091355843,0.0,1.0,5.655925757297453e-5,0.006475370315220227,0.0,2000.0,70.0,2000.0,480.0,53.0,11.311851514594906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24969.14896703001,873.9202138460497,4823.723301724122,586.6583524038459,1320.461312692554,8713.121229002032,1359.8572338704987,-7291.407323490912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,2,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-5817.367651046536,0.0,0.9934680704272068,5.618981648581839e-5,0.006433073652363452,0.0,0.0,0.0,0.0,0.0,4.967340352136034,11.237963297163677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23044.34398376663,806.5520394318314,2832.9674370308985,107.0075240952142,1271.6106512143137,8730.333869081944,1364.3090525951316,-7931.563410317296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,3,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-5949.732045330294,0.0,0.9869788069583575,5.582278856182485e-5,0.006391053268329623,0.0,0.0,0.0,0.0,0.0,4.934894034791787,11.164557712364969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23119.785169420964,809.192480929733,2842.2418352311806,107.3578388838393,1270.7899714588034,8747.676747083871,1368.7754454158264,-7973.750850417711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,4,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-6084.751483412483,0.0,0.980531930901466,5.545815803838208e-5,0.006349307358484923,0.0,0.0,0.0,0.0,0.0,4.90265965450733,11.091631607676415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23195.47332988599,811.841566546009,2851.546595397807,107.70930051192423,1269.999157549473,8765.14980674025,1373.2564600443814,-8015.970443096145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,5,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-6222.479221741788,0.0,0.9741271653849426,5.509590925583853e-5,0.006307834129983283,0.0,0.0,0.0,0.0,0.0,4.870635826924713,11.019181851167707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23271.40927369297,814.4993245792533,2860.8818169279543,108.06191273392292,1269.238094628445,8782.752994751832,1377.7521443487904,-8058.22298572277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,6,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-6362.969585016436,0.0,0.9677642353457035,5.473602665683039e-5,0.00626663180168937,0.0,0.0,0.0,0.0,0.0,4.838821176728517,10.947205331366078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23347.59381202009,817.1657834207026,2870.247599544201,108.41567931658048,1268.5066688507166,8800.48626077681,1382.262546353755,-8100.509273757329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,7,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-6506.277987611777,0.0,0.9614428675173573,5.437849478561344e-5,0.006225698604102109,0.0,0.0,0.0,0.0,0.0,4.807214337586786,10.875698957122689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23424.027758701122,819.8409715545387,2879.6440432955897,108.77060403897329,1267.804767378404,8818.349557420044,1386.787714241197,-8142.830100772377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,8,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-6652.460955437692,0.0,0.9551627904184695,5.4023298287399305e-5,0.006185032779278676,0.0,0.0,0.0,0.0,0.0,4.7758139520923475,10.804659657479862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23500.711930234113,822.5249175581934,2889.0712485586987,109.12669069254949,1267.1322783750268,8836.342840222384,1391.327696350773,-8185.186258476486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,9,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-6801.576148234402,0.0,0.9489237343409034,5.367042190769601e-5,0.00614463258075901,0.0,0.0,0.0,0.0,0.0,4.744618671704517,10.734084381539201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23577.647145790117,825.2176501026535,2898.5293160387123,109.4839430811694,1266.4890909998317,8854.466067650088,1395.8825411803919,-8227.57853673727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,10,1,1,35,0.0,0.0006785,5.655925757297453e-5,0.075,0.006475736578073321,0.0,0.12,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,5.0,-6953.682382315509,0.0,0.9427254313382366,5.331985049165284e-5,0.006104496273490802,0.0,0.0,0.0,0.0,0.0,4.713627156691183,10.663970098330568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23654.834227221938,827.9191979527673,2908.018346770498,109.84236502114622,1265.8750954021573,8872.719201084345,1400.452297386731,-8270.007723604293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
