date,duration,pol_year,att_age,modal_cf_indicator,mort_rate_ann,mort_rate_mth,lapse_rate_ann,lapse_rate_mth,acq_exp_per_pol,acq_exp_perc_prem,maint_exp_per_pol,maint_exp_perc_prem,disc_rate_ann,disc_rate_mth,invt_ret_ann,invt_ret_mth,prem_tax_rate,tax_rate,premium_pp,sum_assured_pp,comm_pp,prem_tax_pp,death_ben_pp,surr_ben_pp,acq_exp_pp,maint_exp_pp,resv_pp,capreq_pp,pol_if,pol_death,pol_lapse,pol_maturity,premium_if,prem_tax_if,comm_if,acq_exp_if,maint_exp_if,death_ben_if,surr_ben_if,resv_if,inc_resv_if,invt_return_if,prof_bef_tax_capreq_if,tax_if,prof_aft_tax_bef_capreq_if,capreq_if,inc_capreq_if,invt_return_on_capreq_if,tax_on_invt_return_on_capreq_if,prof_aft_tax_capreq_if,pv_premium,pv_prem_tax,pv_comm,pv_acq_exp,pv_maint_exp,pv_death_ben,pv_surr_ben,pv_cf,pv_inc_resv,pv_invt_return,pv_prof_bef_tax_capreq,pv_tax,pv_prof_aft_tax_bef_capreq,pv_inc_capreq,pv_invt_return_on_capreq,pv_tax_on_invt_return_on_capreq,pv_prof_aft_tax_capreq
2024-01-01,25,3,37,1.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,2000.0,100000.0,400.0,70.0,106090.0,0.0,0.0,53.0,-10704.142762024814,0.0,1.0,5.866892753503272e-5,0.002663522830492892,0.0,2000.0,70.0,400.0,0.0,53.0,6.224186522191621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29996.323705689258,1049.871329699124,400.0,0.0,1592.149459938146,16129.369625961495,1890.0210184647376,-8934.912271625755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,26,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9299.381791929121,0.0,0.9972778082419721,5.850921946404452e-5,0.0026562722105964052,0.0,0.0,0.0,0.0,0.0,4.98638904120986,6.207243092940483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28087.976384359892,983.0791734525961,0.0,0.0,1544.1882347558956,16175.948798445605,1896.2084554620778,-7488.551722243719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,27,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9381.243377771554,0.0,0.9945630268119117,5.834994614905085e-5,0.002649041328277641,0.0,0.0,0.0,0.0,0.0,4.972815134059559,6.190345786952805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28179.929110050834,986.2975188517792,0.0,0.0,1544.240792029836,16222.697402448948,1902.416148518066,-7524.277248202208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,28,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9463.732290361128,0.0,0.991855635537485,5.8191106406562536e-5,0.0026418301298071285,0.0,0.0,0.0,0.0,0.0,4.959278177687425,6.173494478672219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28272.182865037954,989.5264002763283,0.0,0.0,1544.307139707205,16269.615946522968,1908.644163945767,-7560.089214585685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,29,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9546.853337066805,0.0,0.9891556143012713,5.803269905631206e-5,0.0026346385616016574,0.0,0.0,0.0,0.0,0.0,4.945778071506356,6.156689042884146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28364.73863481283,992.765852218449,0.0,0.0,1544.3872858624495,16316.704941009526,1914.8925682753381,-7595.987987447068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,30,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9630.611362097692,0.0,0.9864629430406133,5.7874722921244855e-5,0.002627466570223883,0.0,0.0,0.0,0.0,0.0,4.932314715203066,6.139929354714867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28457.597408093294,996.0159092832652,0.0,0.0,1544.4812386973667,16363.964898046426,1921.1614282547382,-7631.973933811496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,31,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9715.01124678532,0.0,0.9837776017474682,5.7717176827510496e-5,0.0026203141023819257,0.0,0.0,0.0,0.0,0.0,4.9188880087373406,6.123215289630589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28550.76017683397,999.2766061891888,0.0,0.0,1544.5890065412455,16411.396331572952,1927.450810850442,-7668.047421680141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,32,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9800.057909868148,0.0,0.9810995704682587,5.7560059604454e-5,0.0026131811049289774,0.0,0.0,0.0,0.0,0.0,4.905497852341293,6.106546723436525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28644.227936236894,1002.547977768291,0.0,0.0,1544.7105978510108,16458.999757335427,1933.7607832481547,-7704.208820034008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,33,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9885.756307778214,0.0,0.9784288293037252,5.740337008460716e-5,0.002606067524862905,0.0,0.0,0.0,0.0,0.0,4.892144146518626,6.089923532275973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28738.001684762126,1005.8300589666742,0.0,0.0,1544.8460212113678,16506.77569289278,1940.0914128535303,-7740.458498837776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,34,3,37,0.0,0.0007038,5.866892753503272e-5,0.03150000000000001,0.0026636791056893205,0.0,0.0,5.0,0.024,0.04,0.0032737397821989145,0.0,0.0,0.035,0.0,0.0,100000.0,0.0,0.0,106090.0,0.0,0.0,5.0,-9972.111434929997,0.0,0.9757653584087776,5.724710710367981e-5,0.002598973309325859,0.0,0.0,0.0,0.0,0.0,4.878826792043888,6.073345592629391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28832.082424138433,1009.1228848448449,0.0,0.0,1544.9952853349478,16554.724657622162,1946.4427672928914,-7776.796829043589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
